Graph Type,Size,Prim Time (s),Prim Memory (KB),Kruskal Time (s),Kruskal Memory (KB)
Sparse,50,0.0016698000254109502,55.404296875,0.0009260000078938901,44.34765625
Dense,50,0.0038189999759197235,155.71484375,0.0034357000258751214,131.6015625
Grid,50,0.0004829999525099993,33.2890625,0.0006264999974519014,33.71875
Cycle,50,0.00046609999844804406,32.984375,0.0005525000160560012,33.8828125
Star,50,0.0004437000025063753,34.9140625,0.0005446000141091645,35.8359375
Complete,50,0.002402799960691482,67.72265625,0.0029378000181168318,49.6796875
Sparse,100,0.0010437999735586345,67.1796875,0.0010234999936074018,63.015625
Dense,100,0.014021600014530122,518.25,0.012630200013518333,437.625
Grid,100,0.0009502999600954354,73.421875,0.0012532000546343625,67.2734375
Cycle,100,0.0008554999949410558,73.015625,0.0011261999607086182,66.640625
Star,100,0.0009317999938502908,77.34375,0.0010730999638326466,70.9921875
Complete,100,0.018504499981645495,447.77734375,0.01353149994974956,383.7109375
Sparse,200,0.0015438999980688095,115.1796875,0.0019500000053085387,124.46875
Dense,200,0.1528666999656707,2175.171875,0.05110149999381974,2064.328125
Grid,200,0.0016702000284567475,126.8671875,0.002354600001126528,130.9375
Cycle,200,0.0014875000342726707,128.125,0.0021218000329099596,131.4921875
Star,200,0.0014924000133760273,136.9609375,0.0019204000127501786,140.3515625
Complete,200,0.0686938000144437,2177.58203125,0.0530119999893941,1922.796875
Sparse,300,0.0023892000317573547,157.20703125,0.002979599987156689,165.453125
Dense,300,0.15769839996937662,5041.77734375,0.11775869998382404,4471.734375
Grid,300,0.0025147999986074865,172.953125,0.0035616999957710505,175.1953125
Cycle,300,0.002291400043759495,174.2734375,0.0030904000159353018,178.3515625
Star,300,0.0022115999599918723,183.08203125,0.0029203000012785196,187.203125
Complete,300,0.2582385999849066,5192.15625,0.16835289995651692,4611.3984375
Sparse,400,0.003417600004468113,263.4375,0.004217300040181726,248.28125
Dense,400,0.4138172999955714,9029.03515625,0.3998970999964513,8059.8515625
Grid,400,0.00449230003869161,315.125,0.0050675999955274165,264.1484375
Cycle,400,0.0033011999912559986,286.3515625,0.004549400007817894,261.140625
Star,400,0.003886900027282536,312.04296875,0.004069100017659366,279.0
Complete,400,0.37850589997833595,9144.44140625,0.4121257999795489,8060.2265625
Sparse,500,0.004548099997919053,310.22265625,0.005009600019548088,280.828125
Dense,500,0.6427499999990687,14319.7890625,0.4378631000290625,12688.921875
Grid,500,0.005022900004405528,330.796875,0.006243299983907491,303.953125
Cycle,500,0.004260899964720011,332.4453125,0.005663300049491227,308.015625
Star,500,0.004332499986048788,350.24609375,0.005036399990785867,325.875
Complete,500,0.5350736000109464,14321.1171875,0.4566101999953389,12686.7109375
