Graph Type,Nodes,Edges,DFS Time (s),DFS Std Dev,BFS Time (s),BFS Std Dev,Ratio (DFS/BFS)
Sparse,100,200,0.0002224445343017578,2.5230498987107185e-05,0.0001820087432861328,8.84863824978914e-06,1.2221640031438303
Sparse,250,499,0.0005337238311767578,3.1839585022172895e-05,0.0004657268524169922,7.7588307308737e-06,1.1460018429405139
Sparse,500,1000,0.0012830734252929688,0.00027273449815377963,0.0009814262390136718,1.557411769622351e-05,1.3073559420853176
Sparse,750,1500,0.0017655849456787109,0.00013823439310718853,0.0016425132751464843,0.0002585721498579749,1.0749288741798757
Sparse,1000,1999,0.0022568702697753906,6.751633622604643e-05,0.0022498607635498048,0.00022861562585835258,1.00311552889812
Dense,50,816,0.0006404876708984375,8.671419744654498e-05,0.0004787445068359375,1.1543990262352022e-05,1.3378486055776893
Dense,100,3300,0.002242898941040039,6.699343165286386e-05,0.0021209716796875,0.0002515213634342062,1.057486510791367
Dense,200,13266,0.008561038970947265,0.00020646942129585625,0.007137775421142578,4.4860215409792204e-05,1.1993987574320262
Dense,350,40716,0.029590415954589843,0.0010882138701859849,0.024672985076904297,0.00030213137609272096,1.1993042537154783
Dense,500,83166,0.06666016578674316,0.0016396220311539445,0.06112208366394043,0.0021343512369183955,1.09060689346345
Grid,100,180,0.000211334228515625,1.0763852937440818e-05,0.0001804828643798828,5.4846638238947335e-06,1.1709379128137385
Grid,250,420,0.00046458244323730467,8.594452408646427e-06,0.0004153251647949219,6.694426893309168e-06,1.1185993111366246
Grid,500,924,0.0010775089263916015,9.629284566880101e-05,0.0009077072143554687,1.5977531735757384e-05,1.1870666106324859
Grid,750,1404,0.0021837234497070314,0.0007203022533296865,0.0015336990356445313,0.00015421597825954246,1.423827882104216
Grid,1000,1860,0.002076864242553711,2.7610065585914932e-05,0.0019012928009033204,4.8827193668543434e-05,1.092343189627066
Cycle,100,100,0.00012865066528320313,9.256783638366861e-06,0.00011434555053710938,3.2884482669003805e-06,1.1251042535446205
Cycle,250,250,0.00036787986755371094,0.00010379727470989837,0.0002799510955810547,5.732764695028461e-06,1.3140861863396354
Cycle,500,500,0.0006186485290527344,9.263904147782052e-06,0.0005630016326904297,7.919804423580798e-06,1.098839671381384
Cycle,750,750,0.0009197711944580079,1.650256180189539e-05,0.0008540153503417969,2.1982141275407104e-05,1.076996091568956
Cycle,1000,1000,0.001317739486694336,0.00010986860000795669,0.0011516094207763671,5.319447103290431e-05,1.1442590368928822
Star,100,99,0.0001339435577392578,2.8552712800165352e-05,0.00010581016540527344,4.4486632498514564e-06,1.2658855340243351
Star,250,249,0.00035533905029296877,6.611628772312342e-05,0.0002868175506591797,4.61429579847837e-05,1.2389027431421447
Star,500,499,0.0006249427795410156,1.196129639863085e-05,0.0005666732788085938,2.842141471367398e-05,1.1028273308650285
Star,750,749,0.0009871959686279298,6.884554347599325e-05,0.0009340286254882812,9.011170159338073e-05,1.0569226056769452
Star,1000,999,0.0014247894287109375,0.00033396814690353076,0.0012996196746826172,0.0001620966522528687,1.096312603192075
Complete,50,1225,0.0008419513702392578,3.0072362091476844e-05,0.0006920337677001953,9.007806049126046e-06,1.2166333631916213
Complete,100,4950,0.0032530307769775392,7.515147250241648e-05,0.002818441390991211,0.00020039722499321755,1.154194934610114
Complete,200,19900,0.013049602508544922,0.0003871995532846618,0.010739994049072266,0.00017105827084372288,1.2150474617508902
Complete,350,61075,0.04323039054870605,0.0007263190668667626,0.03652939796447754,0.00021678700656530036,1.183441090125405
Complete,500,124750,0.09221038818359376,0.0011591438450930895,0.08358736038208008,0.0033207328593898126,1.1031618627756348
